ractive_swrbatsr"birth_date"r"current_sw"r"forty_man_sw"rheight_feetrheight_inchesr"jersey_number"r"name_first_last"r"name_last_first"r"name_sort"r"player_first_last_html"r"player_html"r"player_id"rposition_desigr"primary_position"r"primary_position_cd"r"roster_years"r"stat_years"r"status_short"rteam_idr"throws"rweight
22rNrRr1968-07-18T00:00:00rNrNr6r4r30r"Rolando Arrojo"r"Arrojo, Rolando"rARROJO, ROLANDOr"Rolando Arrojo"r"Arrojo, Rolando"r134361rPITCHERrPr1r2000r2000r"Traded"r115rRr240
23rNrRr1980-09-29T00:00:00rNrYr6r2r46rMiguel AsenciorAsencio, MiguelrASENCIO, MIGUELrMiguel AsenciorAsencio, Miguelr407900rPITCHERrPr1r2006r2006r"Traded"r115rRr240
24rNrRr1967-07-11T00:00:00rNrNr6r1rrAndy AshbyrAshby, AndyrASHBY, ANDYrAndy AshbyrAshby, Andyr110351rPITCHERrPr1r1992-1993r1993r"Traded"r115rRr195
25rNrRr1968-11-28T00:00:00rNrNr6r2r34r"Pedro Astacio"r"Astacio, Pedro"rASTACIO, PEDROr"Pedro Astacio"r"Astacio, Pedro"r110359rPITCHERrPr1r1997-2001r1997-2001r"Traded"r115rRr210
26rNrRr1979-12-12T00:00:00rNrYr6r3r27r"Garrett Atkins"r"Atkins, Garrett"rATKINS, GARRETTr"Garrett Atkins"r"Atkins, Garrett"r425548rINFIELDERr3Br5r2003-2009r2003-2009r"Free agent"r115rRr215
27rYrRr1983-04-01T00:00:00rNrYr6r5r66r"John Axford"r"Axford, John"rAXFORD, JOHNr"John Axford"r"Axford, John"r446099rPITCHERrPr1r2015r2015r"Free agent"r115rRr234
28rNrRr1970-10-03T00:00:00rNrYr6r1rr"Roger Bailey"r"Bailey, Roger"rBAILEY, ROGERr"Roger Bailey"r"Bailey, Roger"r110441rPITCHERrPr1r1995-1997r1995-1997rActiver115rRr180
29rNrRr1981-06-21T00:00:00rNrYr6r2r10r"Jeff Baker"r"Baker, Jeff"rBAKER, JEFFr"Jeff Baker"r"Baker, Jeff"r425557rINFIELDERr2Br4r2005-2009r2005-2009r"Traded"r115rRr220
30rNrRr1980-05-26T00:00:00rNrYr6r3r14r"Sean Barker"r"Barker, Sean"rBARKER, SEANr"Sean Barker"r"Barker, Sean"r446436rOUTFIELDERrLFr7r2006-2008r2006-2008rNRIr115rRr220
31rNrRr1979-03-06T00:00:00rNrYr6r1r12r"Clint Barmes"r"Barmes, Clint"rBARMES, CLINTr"Clint Barmes"r"Barmes, Clint"r425549rINFIELDERr2Br4r2003-2010r2003-2010r"Traded"r115rRr200
32rYrRr1986-05-15T00:00:00rNrYr6r2r1r"Brandon Barnes"r"Barnes, Brandon"rBARNES, BRANDONr"Brandon Barnes"r"Barnes, Brandon"r488681rOUTFIELDERrLFr7r2013-2016r2014-2016rSignedr115rRr210
33rNrSr1969-09-22T00:00:00rNrYr6r1r27r"Jeff Barry"r"Barry, Jeff"rBARRY, JEFFr"Jeff Barry"r"Barry, Jeff"r110633rOUTFIELDERrCFr8r1998-2001r1998-1999rWaivedr115rRr190
34rNrRr1972-07-21T00:00:00rNrNr6r0r16r"Kimera Bartee"r"Bartee, Kimera"rBARTEE, KIMERAr"Kimera Bartee"r"Bartee, Kimera"r110638rOUTFIELDERrCFr8r2001r2001rReleasedr115rRr200
35rNrSr1971-01-05T00:00:00rNrNr5r11rrJason BatesrBates, JasonrBATES, JASONrJason BatesrBates, Jasonr110676rINFIELDERr2Br4r1995-1998r1995-1998rReleasedr115rRr170
36rNrRr1980-08-23T00:00:00rNrYr6r5r54rDenny BautistarBautista, DennyrBAUTISTA, DENNYrDenny BautistarBautista, Dennyr429714rPITCHERrPr1r2006-2007r2006-2007r"Traded"r115rRr190
37rNrRr1972-07-16T00:00:00rNrYr6r5rrRobbie BeckettrBeckett, RobbierBECKETT, ROBBIErRobbie BeckettrBeckett, Robbier110775rPITCHERrPr1r1996-1997r1996-1997rActiver115rLr235
38rYrLr1977-04-19T00:00:00rNrYr6r3r97rJoe BeimelrBeimel, JoerBEIMEL, JOErJoe BeimelrBeimel, Joer346847rPITCHERrPr1r2009-2010r2009-2010r"Free agent"r115rLr205
39rNrRr1966-08-06T00:00:00rNrYr6r3r37rStan BelindarBelinda, StanrBELINDA, STANrStan BelindarBelinda, Stanr110811rPITCHERrPr1r1999-2000r2000rReleasedr115rRr185
40rYrRr1980-06-06T00:00:00rNrYr6r3r34rMatt BelislerBelisle, MattrBELISLE, MATTrMatt BelislerBelisle, Mattr279571rPITCHERrPr1r2009-2014r2009-2014r"Free agent"r115rRr230
41rNrLr1975-10-23T00:00:00rNrYr6r3r46rTodd BelitzrBelitz, ToddrBELITZ, TODDrTodd BelitzrBelitz, Toddr277411rPITCHERrPr1r2001-2002r2001rReassignedr115rLr200
42rNrSr1974-08-23T00:00:00rNrNr6r1rr"Mark Bellhorn"r"Bellhorn, Mark"rBELLHORN, MARKr"Mark Bellhorn"r"Bellhorn, Mark"r110840rINFIELDERr3Br5r2003, 2009r2003, 2009rSignedr115rRr205
43rNrRr1975-04-07T00:00:00rNrYr5r9r10r"Ronnie Belliard"r"Belliard, Ronnie"rBELLIARD, RONNIEr"Ronnie Belliard"r"Belliard, Ronnie"r150071rINFIELDERr2Br4r2003r2003rReleasedr115rRr210
44rNrRr1982-02-21T00:00:00rNrYr5r10r15r"Edwin Bellorin"r"Bellorin, Edwin"rBELLORIN, EDWINr"Edwin Bellorin"r"Bellorin, Edwin"r431143rCATCHERrCr2r2006-2009r2007-2009rSignedr115rRr240
45rNrLr1969-11-13T00:00:00rNrNr5r11rr"Rigo Beltran"r"Beltran, Rigo"rBELTRAN, RIGOr"Rigo Beltran"r"Beltran, Rigo"r110844rPITCHERrPr1r1999-2000r1999-2000r"Free agent"r115rLr215
46rNrRr1966-04-07T00:00:00rNrYr6r2rr"Freddie Benavides"r"Benavides, Freddie"rBENAVIDES, FREDDIEr"Freddie Benavides"r"Benavides, Freddie"r110848rINFIELDERrSSr6r1993r1993rActiver115rRr180
47rNrRr1972-04-17T00:00:00rNrYr6r0r29r"Gary Bennett"r"Bennett, Gary"rBENNETT, GARYr"Gary Bennett"r"Bennett, Gary"r110870rCATCHERrCr2r2001-2002r2001-2002r"Free agent"r115rRr210
48rYrRr1988-05-04T00:00:00rNrYr6r1r36r"Christian Bergman"r"Bergman, Christian"rBERGMAN, CHRISTIANr"Christian Bergman"r"Bergman, Christian"r548357rPITCHERrPr1r2010, 2014-2016r2014-2016rSignedr115rRr195
49rNrRr1976-11-28T00:00:00rNrNr6r4r43r"Adam Bernero"r"Bernero, Adam"rBERNERO, ADAMr"Adam Bernero"r"Bernero, Adam"r333293rPITCHERrPr1r2003-2004r2003-2004r"Free agent"r115rRr220
50rYrRr1980-06-24T00:00:00rNrYr6r1r1r"Doug Bernier"r"Bernier, Doug"rBERNIER, DOUGr"Doug Bernier"r"Bernier, Doug"r448674rINFIELDERr2Br4r2006-2008r2006-2008rSignedr115rRr185
51rNrRr1975-04-29T00:00:00rNrYr6r2r63r"Rafael Betancourt"r"Betancourt, Rafael"rBETANCOURT, RAFAELr"Rafael Betancourt"r"Betancourt, Rafael"r429783rPITCHERrPr1r2009-2015r2009-2013, 2015rReleasedr115rRr215
52rYrRr1989-04-26T00:00:00rYrYr6r0r35rChad BettisrBettis, ChadrBETTIS, CHADrChad BettisrBettis, Chadr518452rPITCHERrPr1r2010, 2012-2019r2012-2019r10-day ILr115rRr201
53rNrRr1963-11-18T00:00:00rNrNr6r2r10rDante BichetterBichette, DanterBICHETTE, DANTErDante BichetterBichette, Danter110974rOUTFIELDERrLFr7r1992-1999r1993-1999rWaivedr115rRr235
54rNrLr1977-11-04T00:00:00rNrNr6r4r34r"Larry Bigbie"r"Bigbie, Larry"rBIGBIE, LARRYr"Larry Bigbie"r"Bigbie, Larry"r406933rOUTFIELDERrCFr8r2005r2005r"Traded"r115rRr210
55rYrRr1985-11-18T00:00:00rNrYr6r0r41r"Bruce Billings"r"Billings, Bruce"rBILLINGS, BRUCEr"Bruce Billings"r"Billings, Bruce"r501852rPITCHERrPr1r2010-2011r2011r"Traded"r115rRr205
56rYrLr1986-07-01T00:00:00rYrYr6r3r19r"Charlie Blackmon"r"Blackmon, Charlie"rBLACKMON, CHARLIEr"Charlie Blackmon"r"Blackmon, Charlie"r453568rOUTFIELDERrRFr9r2011-2019r2011-2019rActiver115rLr220
57rNrRr1965-12-18T00:00:00rNrNr6r1rr"Willie Blair"r"Blair, Willie"rBLAIR, WILLIEr"Willie Blair"r"Blair, Willie"r111060rPITCHERrPr1r1992-1994r1993-1994rReleasedr115rRr185
58rNrRr1971-08-29T00:00:00rNrYr5r11r35r"Henry Blanco"r"Blanco, Henry"rBLANCO, HENRYr"Henry Blanco"r"Blanco, Henry"r111072rCATCHERrCr2r1999r1999r"Traded"r115rRr220
59rYrRr1984-02-15T00:00:00rNrYr6r4r41rMitchell BoggsrBoggs, MitchellrBOGGS, MITCHELLrMitchell BoggsrBoggs, Mitchellr459939rPITCHERrPr1r2013r2013r"Free agent"r115rRr235
60rNrLr1968-08-01T00:00:00rNrNr6r2r41r"Brian Bohanon"r"Bohanon, Brian"rBOHANON, BRIANr"Brian Bohanon"r"Bohanon, Brian"r111155rPITCHERrPr1r1998-2001r1999-2001rReleasedr115rLr250
61rNrLr1963-01-04T00:00:00rNrYr6r3rr"Daryl Boston"r"Boston, Daryl"rBOSTON, DARYLr"Daryl Boston"r"Boston, Daryl"r111257rOUTFIELDERrOFrOr1993r1993rActiver115rLr203
62rNrRr1968-11-14T00:00:00rNrNr6r3rrKent BottenfieldrBottenfield, KentrBOTTENFIELD, KENTrKent BottenfieldrBottenfield, Kentr111264rPITCHERrPr1r1993-1994r1993-1994rReleasedr115rRr240
63rYrRr1978-02-10T00:00:00rNrYr6r2r31r"Cedrick Bowers"r"Bowers, Cedrick"rBOWERS, CEDRICKr"Cedrick Bowers"r"Bowers, Cedrick"r276914rPITCHERrPr1r2008-2009r2008-2009rReleasedr115rLr220
64rNrLr1974-11-10T00:00:00rNrYr6r4r44rMicah BowierBowie, MicahrBOWIE, MICAHrMicah BowierBowie, Micahr150295rPITCHERrPr1r2007-2008r2008r"Free agent"r115rLr220
65rNrLr1969-09-07T00:00:00rNrNr5r9r31r"Darren Bragg"r"Bragg, Darren"rBRAGG, DARRENr"Darren Bragg"r"Bragg, Darren"r111369rOUTFIELDERrLFr7r2000r2000rReleasedr115rRr180
66rYrLr1986-01-16T00:00:00rNrYr6r2rr"Reid Brignac"r"Brignac, Reid"rBRIGNAC, REIDr"Reid Brignac"r"Brignac, Reid"r458582rINFIELDERrSSr6r2013r2013rSignedr115rRr197
67rNrRr1966-06-22T00:00:00rNrYr6r1rr"Jorge Brito"r"Brito, Jorge"rBRITO, JORGEr"Jorge Brito"r"Brito, Jorge"r111482rCATCHERrCr2r1995-1996r1995-1996rActiver115rRr190
68rYrLr1987-12-18T00:00:00rNrYr6r0r49r"Rex Brothers"r"Brothers, Rex"rBROTHERS, REXr"Rex Brothers"r"Brothers, Rex"r571521rPITCHERrPr1r2009, 2011-2015r2011-2015r"Traded"r115rLr205
69rNrRr1984-09-10T00:00:00rNrYr6r0r12r"Andrew Brown"r"Brown, Andrew"rBROWN, ANDREWr"Andrew Brown"r"Brown, Andrew"r518500rOUTFIELDERrRFr9r2011-2012r2012r"Free agent"r115rRr200
70rYrLr1985-06-20T00:00:00rNrYr6r3r51r"Brooks Brown"r"Brown, Brooks"rBROWN, BROOKSr"Brooks Brown"r"Brown, Brooks"r453156rPITCHERrPr1r2013-2015r2014-2015rClaimedr115rRr205
71rNrLr1975-06-17T00:00:00rNrNr6r2r32r"Mark Brownson"r"Brownson, Mark"rBROWNSON, MARKr"Mark Brownson"r"Brownson, Mark"r136301rPITCHERrPr1r1998-1999r1998-1999rWaivedr115rRr185
72rNrRr1974-04-21T00:00:00rNrNr6r2r66r"Cliff Brumbaugh"r"Brumbaugh, Cliff"rBRUMBAUGH, CLIFFr"Cliff Brumbaugh"r"Brumbaugh, Cliff"r406733rOUTFIELDERrLFr7r2001r2001rSignedr115rRr205
73rNrRr1981-10-13T00:00:00rNrYr6r3r35r"Taylor Buchholz"r"Buchholz, Taylor"rBUCHHOLZ, TAYLORr"Taylor Buchholz"r"Buchholz, Taylor"r430587rPITCHERrPr1r2006-2010r2007-2010rClaimedr115rRr220
74rNrSr1970-02-09T00:00:00rNrYr6r4rr"John Burke"r"Burke, John"rBURKE, JOHNr"John Burke"r"Burke, John"r111721rPITCHERrPr1r1996-1997r1996-1997rActiver115rRr220
75rNrRr1964-09-11T00:00:00rNrNr6r2rr"Ellis Burks"r"Burks, Ellis"rBURKS, ELLISr"Ellis Burks"r"Burks, Ellis"r111736rOUTFIELDERrCFr8r1994-1998r1994-1998r"Traded"r115rRr200
76rNrLr1969-04-15T00:00:00rNrNr6r0r35r"Jeromy Burnitz"r"Burnitz, Jeromy"rBURNITZ, JEROMYr"Jeromy Burnitz"r"Burnitz, Jeromy"r111742rOUTFIELDERrRFr9r2004r2004r"Free agent"r115rRr210
77rYrRr1983-08-09T00:00:00rNrYr6r1r25r"Drew Butera"r"Butera, Drew"rBUTERA, DREWr"Drew Butera"r"Butera, Drew"r460077rCATCHERrCr2r2018-2019r2018-2019rSignedr115rRr205
78rNrRr1978-02-11T00:00:00rNrNr6r0r5r"Brent Butler"r"Butler, Brent"rBUTLER, BRENTr"Brent Butler"r"Butler, Brent"r150450rINFIELDERr2Br4r2001-2003r2001-2003r"Free agent"r115rRr180
79rYrRr1991-03-13T00:00:00rNrYr6r2r31r"Eddie Butler"r"Butler, Eddie"rBUTLER, EDDIEr"Eddie Butler"r"Butler, Eddie"r572750rPITCHERrPr1r2012, 2014-2017r2014-2016r"Traded"r115rRr180
80rNrRr1976-02-16T00:00:00rNrYr6r2r35r"Eric Byrnes"r"Byrnes, Eric"rBYRNES, ERICr"Eric Byrnes"r"Byrnes, Eric"r291565rOUTFIELDERrRFr9r2005r2005r"Traded"r115rRr205
81rYrLr1987-10-20T00:00:00rNrYr6r0r46r"Edwar Cabrera"r"Cabrera, Edwar"rCABRERA, EDWARr"Edwar Cabrera"r"Cabrera, Edwar"r542369rPITCHERrPr1r2011-2013r2012rClaimedr115rLr195
82rNrSr1963-03-10T00:00:00rNrYr5r8r23rJohn CangelosirCangelosi, JohnrCANGELOSI, JOHNrJohn CangelosirCangelosi, Johnr111956rOUTFIELDERrLFr7r1999r1999rReleasedr115rLr160
83rNrRr1981-01-13T00:00:00rNrYr6r4r41rJose CapellanrCapellan, JoserCAPELLAN, JOSErJose CapellanrCapellan, Joser430642rPITCHERrPr1r2007-2008r2008r"Free agent"r115rRr245
84rYrRr1991-07-23T00:00:00rNrYr6r3rr"Matt Carasiti"r"Carasiti, Matt"rCARASITI, MATTr"Matt Carasiti"r"Carasiti, Matt"r571539rPITCHERrPr1r2012, 2015-2017r2016-2017r"Traded"r115rRr210
85rYrRr1987-08-31T00:00:00rNrYr6r0r94r"Stephen Cardullo"r"Cardullo, Stephen"rCARDULLO, STEPHENr"Stephen Cardullo"r"Cardullo, Stephen"r506924rOUTFIELDERrLFr7r2016-2018r2016-2018rSignedr115rRr215
86rYrRr1991-08-30T00:00:00rNrYr6r4r29r"Shane Carle"r"Carle, Shane"rCARLE, SHANEr"Shane Carle"r"Carle, Shane"r641438rPITCHERrPr1r2014, 2016-2018r2016-2017rClaimedr115rRr210
87rNrLr1968-07-23T00:00:00rNrNr6r1r23r"Bubba Carpenter"r"Carpenter, Bubba"rCARPENTER, BUBBAr"Bubba Carpenter"r"Carpenter, Bubba"r150084rOUTFIELDERrLFr7r1999-2000r2000rWaivedr115rLr185
88rNrRr1968-03-04T00:00:00rNrNr6r2r47r"Giovanni Carrara"r"Carrara, Giovanni"rCARRARA, GIOVANNIr"Giovanni Carrara"r"Carrara, Giovanni"r112030rPITCHERrPr1r2000r2000r"Free agent"r115rRr230
89rNrRr1974-02-18T00:00:00rNrYr5r10r1r"Jamey Carroll"r"Carroll, Jamey"rCARROLL, JAMEYr"Jamey Carroll"r"Carroll, Jamey"r425206rINFIELDERr2Br4r2006-2007r2006-2007r"Traded"r115rRr175
