,active_sw,age,bats,birth_city,birth_country,birth_date,birth_state,college,death_city,death_country,death_date,death_state,end_date,file_code,gender,height_feet,height_inches,high_school,jersey_number,name_display_first_last,name_display_first_last_html,name_display_last_first,name_display_last_first_html,name_display_roster,name_display_roster_html,name_first,name_full,name_last,name_matrilineal,name_middle,name_nick,name_prefix,name_title,name_use,player_id,primary_position,primary_position_txt,primary_sport_code,primary_stat_type,pro_debut_date,start_date,status,status_code,status_date,team_abbrev,team_code,team_id,team_name,throws,twitter_id,weight
310,Y,36,R,Leon,Nicaragua,1983-07-19T00:00:00,,,,,,,2015-03-21T00:00:00,tor,M,6,0,,46,Wilton Lopez,Wilton Lopez,"Lopez, Wilton","Lopez, Wilton","Lopez, W","Lopez, W",Wilton,"Lopez, Wilton",Lopez,,Aristides,,,,Wilton,446641,1,P,mlb,pitching,2009-08-28T00:00:00,2014-12-16T00:00:00,NRI,NRI,2014-12-16T00:00:00,TOR,tor,141,Toronto Blue Jays,R,@LopezWilton59,200
311,N,48,R,Dallas,USA,1971-03-29T00:00:00,TX,Arizona State,,,,,2003-09-04T00:00:00,kc,M,6,2,"Mesquite, TX",39,Sean Lowe,Sean Lowe,"Lowe, Sean","Lowe, Sean",Lowe,Lowe,Jonathan,"Lowe, Sean",Lowe,,Sean,,,,Sean,117957,1,P,mlb,pitching,1997-08-29T00:00:00,2003-01-16T00:00:00,Released,RL,2003-01-16T00:00:00,KC,kca,118,Kansas City Royals,R,,225
312,Y,33,R,Eustis,USA,1986-06-13T00:00:00,FL,Louisiana-Lafayette,,,,,,chc,M,6,0,"Umatilla, FL",25,Jonathan Lucroy,Jonathan Lucroy,"Lucroy, Jonathan","Lucroy, Jonathan",Lucroy,Lucroy,Jonathan,"Lucroy, Jonathan",Lucroy,,Charles,Luc,,,Jonathan,518960,2,C,mlb,hitting,2010-05-21T00:00:00,2019-08-08T00:00:00,Active,A,2019-08-08T00:00:00,CHC,chn,112,Chicago Cubs,R,@JLucroy20,200
313,Y,28,R,Hartsville,USA,1990-10-19T00:00:00,SC,,,,,,,mil,M,6,5,"Hartsville, SC",23,Jordan Lyles,Jordan Lyles,"Lyles, Jordan","Lyles, Jordan",Lyles,Lyles,Jordan,"Lyles, Jordan",Lyles,,Horton,J Lyles,,,Jordan,543475,1,P,mlb,pitching,2011-05-31T00:00:00,2019-07-29T00:00:00,Active,A,2019-07-30T00:00:00,MIL,mil,158,Milwaukee Brewers,R,,230
314,N,48,L,Wilmington,USA,1970-10-17T00:00:00,DE,West Chester,,,,,2007-05-29T00:00:00,col,M,6,4,"Bohemia Manor, Chesapeake City, MD",47,John Mabry,John Mabry,"Mabry, John","Mabry, John",Mabry,Mabry,John,"Mabry, John",Mabry,,Steven,,,,John,118065,7,LF,mlb,hitting,1994-04-23T00:00:00,2007-03-30T00:00:00,Released,RL,2007-03-30T00:00:00,COL,col,115,Colorado Rockies,R,,210
315,Y,38,S,Caracas,Venezuela,1981-01-25T00:00:00,,,,,,,2011-03-31T00:00:00,mil,M,6,0,"Liceo de Aplicacion, Caracas, VZ",91,Anderson Machado,Anderson Machado,"Machado, Anderson","Machado, Anderson",Machado,Machado,Anderson,"Machado, Anderson",Machado,Graffe,Javier,,,,Anderson,407785,6,SS,mlb,hitting,2003-09-27T00:00:00,2011-03-21T00:00:00,Signed,MIN,2011-03-21T00:00:00,MIL,mil,158,Milwaukee Brewers,R,,189
316,Y,34,R,San Antonio,USA,1985-01-16T00:00:00,TX,Notre Dame,,,,,2018-02-15T00:00:00,cin,M,6,2,"Ronald Reagan, San Antonio, TX",44,Jeff Manship,Jeff Manship,"Manship, Jeff","Manship, Jeff",Manship,Manship,Jeffrey,"Manship, Jeff",Manship,,Michael,,,,Jeff,453249,1,P,mlb,pitching,2009-08-15T00:00:00,2018-02-05T00:00:00,Released,RL,2018-02-15T00:00:00,CIN,cin,113,Cincinnati Reds,R,,205
317,N,55,R,Bristol,USA,1964-08-23T00:00:00,PA,Temple University,,,,,2000-04-28T00:00:00,col,M,6,3,"Bristol, PA",23,Jeff Manto,Jeff Manto,"Manto, Jeff","Manto, Jeff",Manto,Manto,Jeffrey,"Manto, Jeff",Manto,,Paul,,,,Jeff,118259,5,3B,mlb,hitting,1990-06-07T00:00:00,1999-11-03T00:00:00,Released,RL,1999-11-03T00:00:00,COL,col,115,Colorado Rockies,R,,210
318,N,54,R,Elmira,USA,1965-07-15T00:00:00,NY,Coastal Carolina,,,,,1999-11-01T00:00:00,col,M,5,11,"Central, Horseheads, NY",8,Kirt Manwaring,Kirt Manwaring,"Manwaring, Kirt","Manwaring, Kirt",Manwaring,Manwaring,Kirt,"Manwaring, Kirt",Manwaring,,Dean,,,,Kirt,118267,2,C,mlb,hitting,1987-09-15T00:00:00,1996-12-09T00:00:00,Free agent,FA,1996-12-09T00:00:00,COL,col,115,Colorado Rockies,R,,190
319,Y,24,R,San Felix,Venezuela,1995-02-22T00:00:00,,,,,,,,col,M,6,1,,48,German Marquez,German Márquez,"Marquez, German","Márquez, German",Marquez,Márquez,German,"Marquez, German",Marquez,,Andres,Marquee,,,German,608566,1,P,mlb,pitching,2016-09-08T00:00:00,2016-01-28T00:00:00,Active,A,2018-10-04T00:00:00,COL,col,115,Colorado Rockies,R,,225
320,N,41,L,Manhasset,USA,1978-08-21T00:00:00,NY,,,,,,2015-06-10T00:00:00,cin,M,6,1,"Tottenville, Staten Island, NY",31,Jason Marquis,Jason Marquis,"Marquis, Jason","Marquis, Jason",Marquis,Marquis,Jason,"Marquis, Jason",Marquis,,Scott,,,,Jason,150302,1,P,mlb,pitching,2000-06-06T00:00:00,2015-04-05T00:00:00,Released,RL,2015-06-10T00:00:00,CIN,cin,113,Cincinnati Reds,R,,220
